topic_id,top_10_words,manual_topic_label,is_environmental_or_esg_topic,is_possible_esg_topic
0,"remuneration, performance, executive, committee, bonus, salary, directors, executive directors, awards, pay",Executive remuneration and pay,NO,No
1,"impairment, assets, million, value, group, assumptions, acquisition, goodwill, period, cash","Impairment, assets and goodwill",NO,No
2,"company, shares, resolution, authority, ordinary, agm, directors, share, ordinary shares, securities",Shareholder resolutions and AGM,NO,No
3,"hedging, hedge, foreign, currency, hedged, fair value, fair, rate, value, hedges",Hedging and foreign currency risk,NO,No
4,"lease, leases, right use, payments, asset, right, lease liability, use, lease payments, liability",Lease accounting,NO,No
5,"sales, online, margin, jan, year, growth, price sales, customers, costs, total","Sales, margin and customers",NO,No
6,"stores, jd, sports, fashion, sports fashion, store, million, group, period, new",Stores and retail expansion,NO,No
7,"risk, risks, internal, committee, management, business, controls, audit, risk management, internal audit",Risk management and internal audit,NO,No
8,"tax, deferred tax, deferred, income, share, recognised, shares, assets, ordinary, taxable",Tax and deferred tax,NO,No
9,"board, committee, executive, directors, non executive, meetings, director, chairman, non, senior",Board and committee governance,NO,No
10,"climate, risks, climate related, risk, related, related risks, emissions, esg, opportunities, scenario",Climate risk and ESG reporting,Yes,Yes
11,"risk, business, impact, supply, group, risks, supply chain, chain, mitigating, covid",Business and supply chain risk,Yes,Yes
12,"suppliers, supply, workers, factories, chain, supply chain, ethical, human, rights, human rights",Ethical supply chain and human rights,Yes,Yes
13,"plan, pension, scheme, benefit, defined, 2013, 2013 plan, defined benefit, retirement, original plan",Pension scheme,NO,No
14,"fair, group, financial, cash, fair value, value, instruments, rate, liabilities, financial instruments",Financial instruments and fair value,NO,No
15,"receivables, credit, past, cii, days past, days, risk band, band, trade, risk",Credit risk and receivables,NO,No
16,"recycled, cotton, products, water, materials, plastic, product, waste, sustainable, packaging",Sustainable materials and packaging,Yes,Yes
17,"director, executive, executive director, non executive, experience, appointed, chief, non, plc, board",Board and director experience,No,No
18,"share, earnings, shares, cash, weighted average, average, earnings share, weighted, tax, january",Earnings per share and taxation,No,No
19,"ocado, adjusting, items, ocado retail, adjusting items, retail limited, group, retail, limited, costs",Ocado retail and adjusting items,No,No
20,"emissions, energy, scope, carbon, renewable, electricity, data, based, gas, reporting",Emissions and energy reporting,Yes,yes
