company_short,year,bertopic_topic,topic_chunk_count,total_valid_chunks,topic_proportion
ASOS,2019,0,13,69,0.18840579710144928
ASOS,2019,1,1,69,0.014492753623188406
ASOS,2019,2,1,69,0.014492753623188406
ASOS,2019,3,5,69,0.07246376811594203
ASOS,2019,4,1,69,0.014492753623188406
ASOS,2019,5,2,69,0.028985507246376812
ASOS,2019,7,3,69,0.043478260869565216
ASOS,2019,8,3,69,0.043478260869565216
ASOS,2019,9,2,69,0.028985507246376812
ASOS,2019,11,2,69,0.028985507246376812
ASOS,2019,12,1,69,0.014492753623188406
ASOS,2019,14,1,69,0.014492753623188406
ASOS,2019,17,2,69,0.028985507246376812
ASOS,2019,18,1,69,0.014492753623188406
ASOS,2019,21,1,69,0.014492753623188406
ASOS,2019,23,2,69,0.028985507246376812
ASOS,2019,24,11,69,0.15942028985507245
ASOS,2019,25,2,69,0.028985507246376812
ASOS,2019,28,2,69,0.028985507246376812
ASOS,2019,29,2,69,0.028985507246376812
ASOS,2019,30,1,69,0.014492753623188406
ASOS,2019,31,1,69,0.014492753623188406
ASOS,2019,33,1,69,0.014492753623188406
ASOS,2019,34,2,69,0.028985507246376812
ASOS,2019,35,1,69,0.014492753623188406
ASOS,2019,36,1,69,0.014492753623188406
ASOS,2019,40,1,69,0.014492753623188406
ASOS,2019,52,1,69,0.014492753623188406
ASOS,2019,53,1,69,0.014492753623188406
ASOS,2019,56,1,69,0.014492753623188406
ASOS,2020,0,17,76,0.2236842105263158
ASOS,2020,2,1,76,0.013157894736842105
ASOS,2020,3,3,76,0.039473684210526314
ASOS,2020,4,3,76,0.039473684210526314
ASOS,2020,5,3,76,0.039473684210526314
ASOS,2020,7,5,76,0.06578947368421052
ASOS,2020,8,2,76,0.02631578947368421
ASOS,2020,9,2,76,0.02631578947368421
ASOS,2020,11,1,76,0.013157894736842105
ASOS,2020,12,1,76,0.013157894736842105
ASOS,2020,14,1,76,0.013157894736842105
ASOS,2020,15,2,76,0.02631578947368421
ASOS,2020,16,1,76,0.013157894736842105
ASOS,2020,17,2,76,0.02631578947368421
ASOS,2020,18,1,76,0.013157894736842105
ASOS,2020,23,1,76,0.013157894736842105
ASOS,2020,24,10,76,0.13157894736842105
ASOS,2020,25,1,76,0.013157894736842105
ASOS,2020,28,3,76,0.039473684210526314
ASOS,2020,29,4,76,0.05263157894736842
ASOS,2020,31,1,76,0.013157894736842105
ASOS,2020,33,1,76,0.013157894736842105
ASOS,2020,36,1,76,0.013157894736842105
ASOS,2020,38,1,76,0.013157894736842105
ASOS,2020,40,1,76,0.013157894736842105
ASOS,2020,43,1,76,0.013157894736842105
ASOS,2020,47,1,76,0.013157894736842105
ASOS,2020,50,2,76,0.02631578947368421
ASOS,2020,52,2,76,0.02631578947368421
ASOS,2020,53,1,76,0.013157894736842105
ASOS,2021,0,17,90,0.18888888888888888
ASOS,2021,1,4,90,0.044444444444444446
ASOS,2021,2,3,90,0.03333333333333333
ASOS,2021,3,3,90,0.03333333333333333
ASOS,2021,4,1,90,0.011111111111111112
ASOS,2021,5,3,90,0.03333333333333333
ASOS,2021,7,4,90,0.044444444444444446
ASOS,2021,8,4,90,0.044444444444444446
ASOS,2021,9,5,90,0.05555555555555555
ASOS,2021,12,1,90,0.011111111111111112
ASOS,2021,14,2,90,0.022222222222222223
ASOS,2021,15,1,90,0.011111111111111112
ASOS,2021,16,1,90,0.011111111111111112
ASOS,2021,17,3,90,0.03333333333333333
ASOS,2021,20,1,90,0.011111111111111112
ASOS,2021,23,2,90,0.022222222222222223
ASOS,2021,24,7,90,0.07777777777777778
ASOS,2021,25,1,90,0.011111111111111112
ASOS,2021,26,3,90,0.03333333333333333
ASOS,2021,28,3,90,0.03333333333333333
ASOS,2021,29,3,90,0.03333333333333333
ASOS,2021,30,1,90,0.011111111111111112
ASOS,2021,32,1,90,0.011111111111111112
ASOS,2021,33,1,90,0.011111111111111112
ASOS,2021,34,1,90,0.011111111111111112
ASOS,2021,35,1,90,0.011111111111111112
ASOS,2021,36,1,90,0.011111111111111112
ASOS,2021,38,1,90,0.011111111111111112
ASOS,2021,39,1,90,0.011111111111111112
ASOS,2021,40,2,90,0.022222222222222223
ASOS,2021,43,1,90,0.011111111111111112
ASOS,2021,47,1,90,0.011111111111111112
ASOS,2021,49,1,90,0.011111111111111112
ASOS,2021,50,1,90,0.011111111111111112
ASOS,2021,52,2,90,0.022222222222222223
ASOS,2021,55,1,90,0.011111111111111112
ASOS,2021,56,1,90,0.011111111111111112
ASOS,2022,0,22,110,0.2
ASOS,2022,1,2,110,0.01818181818181818
ASOS,2022,2,3,110,0.02727272727272727
ASOS,2022,3,3,110,0.02727272727272727
ASOS,2022,4,2,110,0.01818181818181818
ASOS,2022,5,3,110,0.02727272727272727
ASOS,2022,7,3,110,0.02727272727272727
ASOS,2022,8,2,110,0.01818181818181818
ASOS,2022,9,5,110,0.045454545454545456
ASOS,2022,10,6,110,0.05454545454545454
ASOS,2022,11,2,110,0.01818181818181818
ASOS,2022,14,2,110,0.01818181818181818
ASOS,2022,15,1,110,0.00909090909090909
ASOS,2022,17,2,110,0.01818181818181818
ASOS,2022,18,2,110,0.01818181818181818
ASOS,2022,20,2,110,0.01818181818181818
ASOS,2022,21,1,110,0.00909090909090909
ASOS,2022,23,2,110,0.01818181818181818
ASOS,2022,24,6,110,0.05454545454545454
ASOS,2022,25,2,110,0.01818181818181818
ASOS,2022,26,2,110,0.01818181818181818
ASOS,2022,28,2,110,0.01818181818181818
ASOS,2022,29,3,110,0.02727272727272727
ASOS,2022,30,3,110,0.02727272727272727
ASOS,2022,33,1,110,0.00909090909090909
ASOS,2022,34,1,110,0.00909090909090909
ASOS,2022,36,3,110,0.02727272727272727
ASOS,2022,38,2,110,0.01818181818181818
ASOS,2022,39,1,110,0.00909090909090909
ASOS,2022,40,4,110,0.03636363636363636
ASOS,2022,43,1,110,0.00909090909090909
ASOS,2022,44,2,110,0.01818181818181818
ASOS,2022,45,2,110,0.01818181818181818
ASOS,2022,47,2,110,0.01818181818181818
ASOS,2022,49,1,110,0.00909090909090909
ASOS,2022,50,1,110,0.00909090909090909
ASOS,2022,52,2,110,0.01818181818181818
ASOS,2022,53,1,110,0.00909090909090909
ASOS,2022,54,1,110,0.00909090909090909
