company_short,year,total_valid_chunks,esg_topic_chunks,esg_topic_proportion
ASOS,2019,69,4,0.057971014492753624
ASOS,2020,76,9,0.11842105263157894
ASOS,2021,90,8,0.08888888888888889
ASOS,2022,110,19,0.17272727272727273
ASOS,2023,117,26,0.2222222222222222
ASOS,2024,117,23,0.19658119658119658
BOOHOO,2019,43,4,0.09302325581395349
BOOHOO,2020,52,8,0.15384615384615385
BOOHOO,2021,54,7,0.12962962962962962
BOOHOO,2022,71,19,0.2676056338028169
BOOHOO,2023,73,16,0.2191780821917808
BOOHOO,2024,75,21,0.28
JD,2019,91,15,0.16483516483516483
JD,2020,113,24,0.21238938053097345
JD,2021,138,35,0.2536231884057971
JD,2022,152,35,0.23026315789473684
JD,2023,182,43,0.23626373626373626
JD,2024,172,34,0.19767441860465115
MKS,2019,135,6,0.044444444444444446
MKS,2020,164,14,0.08536585365853659
MKS,2021,163,17,0.10429447852760736
MKS,2022,162,21,0.12962962962962962
MKS,2023,160,18,0.1125
MKS,2024,147,16,0.10884353741496598
NEXT,2019,113,3,0.02654867256637168
NEXT,2020,141,5,0.03546099290780142
NEXT,2021,135,11,0.08148148148148149
NEXT,2022,154,21,0.13636363636363635
NEXT,2023,159,21,0.1320754716981132
NEXT,2024,166,20,0.12048192771084337
