company_short,year,search_term,match_number,context_snippet,possible_metric,possible_value,unit,use_in_final_dataset,notes,Unnamed: 10,Unnamed: 11,Unnamed: 12
ASOS,2019,emissions,1,"rls in Gurugram.  4.1 million+ donated to our charity partners since 2009 20,000 young people supported by ASOS Foundation programmes Business with integrity At ASOS we believe in being a business that behaves in the right way. Our core values define who we are. We call this The ASOS Way. To make sure we re always supporting these values, we ve established Do The Right Thing   the ASOS Code of Integrity. Our people can anonymously report any concerns about upholding the Code via a confidential hotline  Speak Up . More information on The ASOS Way and Do the Right Thing are available on asosplc.com Lower-carbon operations As a growing company, we need to decouple our growth from emissions and extend this to our supply chain. We are committed to reducing our carbon intensity per customer order (for business operations only) every year to 2020. Our latest data (2017/184) shows our total operational carbon emissions to be 236,720 tonnes of carbon dioxide equivalent, a 10% reduction on the previous year. This reduction was mainly delivered by improving the efficiency of garment distribution and we continue to engage with our delivery carriers to increase the use of low-carbon vehicles. Responsible Procurement Our Responsible Procurement programme seeks to drive visibility, promote integrity and mitigate risk in our non-stock supply chain and operations. We re cur",Total/operational carbon emissions,236720.0,tCO2e,yes,Auto-extracted candidate emissions value; verify in original report.,,,
ASOS,2020,Energy consumption,2,"of that meeting. By order of the Board Anna Suchopar Company Secretary 13 October 2020 Energy and carbon emission reporting Unit of measurement UK portion Total global Energy consumption used to calculate emissions   for gas, electricity and transport emissions kWh 24,679,429 50,451,739 Scope 1   emissions from combustion of gas tCO2e 1,359 2,955 Scope 2   emissions from purchased electricity - location based tCO2e 4,026 11,084 Scope 3   emissions from staff vehicles used for business purposes tCO2e 23 23 Total gross emissions tCO2e 5,408 14,062 Intensity ratio   tCO2e/ m revenue   location based tCO2e/ m revenue 4.31 Market based emissions Unit of measurement UK portion Total global Scope 2   emissions from purchased electricity   market based tCO2e 1,703 5,046 Intensity ratio   tCO2e/ m revenue   market based tCO2e/ m revenue 2.46 Quantification and reporting methodology: We have followed the 2020 HM Government Environmental Reporting Guidelines. We have also used the GHG Reporting Protocol   Corporate Standard (Operational Control boundary), Ofgem environmental impact measurements for fuel sources, and have used the 2020 UK Government s Conversion Factors for Company Reporting. Other intensity factors acquired through EIA and EEA for US and German markets. Energy data is obtained from a hierarchy of HH data, meter readings, invoices and finally estimates if necessary. O",Energy consumption,50451739.0,kWh,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
ASOS,2020,Scope 1 emissions,1,"interests of all our stakeholders would be best served by running this year s AGM as a closed meeting. Shareholders will therefore not be able to attend in person. The Notice of Meeting will be available to view on www.asosplc.com, sufficiently in advance of that meeting. By order of the Board Anna Suchopar Company Secretary 13 October 2020 Energy and carbon emission reporting Unit of measurement UK portion Total global Energy consumption used to calculate emissions   for gas, electricity and transport emissions kWh 24,679,429 50,451,739 Scope 1   emissions from combustion of gas tCO2e 1,359 2,955 Scope 2   emissions from purchased electricity - location based tCO2e 4,026 11,084 Scope 3   emissions from staff vehicles used for business purposes tCO2e 23 23 Total gross emissions tCO2e 5,408 14,062 Intensity ratio   tCO2e/ m revenue   location based tCO2e/ m revenue 4.31 Market based emissions Unit of measurement UK portion Total global Scope 2   emissions from purchased electricity   market based tCO2e 1,703 5,046 Intensity ratio   tCO2e/ m revenue   market based tCO2e/ m revenue 2.46 Quantification and reporting methodology: We have followed the 2020 HM Government Environmental Reporting Guidelines. We have also used the GHG Reporting Protocol   Corporate Standard (Operational Control boundary), Ofgem environmental impact measurements for fuel sources, and have used the",Scope 1 emissions,2955.0,tCO2e,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
ASOS,2020,Scope 2 ,13,"e to view on www.asosplc.com, sufficiently in advance of that meeting. By order of the Board Anna Suchopar Company Secretary 13 October 2020 Energy and carbon emission reporting Unit of measurement UK portion Total global Energy consumption used to calculate emissions   for gas, electricity and transport emissions kWh 24,679,429 50,451,739 Scope 1   emissions from combustion of gas tCO2e 1,359 2,955 Scope 2   emissions from purchased electricity - location based tCO2e 4,026 11,084 Scope 3   emissions from staff vehicles used for business purposes tCO2e 23 23 Total gross emissions tCO2e 5,408 14,062 Intensity ratio   tCO2e/ m revenue   location based tCO2e/ m revenue 4.31 Market based emissions Unit of measurement UK portion Total global Scope 2   emissions from purchased electricity   market based tCO2e 1,703 5,046 Intensity ratio   tCO2e/ m revenue   market based tCO2e/ m revenue 2.46 Quantification and reporting methodology: We have followed the 2020 HM Government Environmental Reporting Guidelines. We have also used the GHG Reporting Protocol   Corporate Standard (Operational Control boundary), Ofgem environmental impact measurements for fuel sources, and have used the 2020 UK Government s Conversion Factors for Company Reporting. Other intensity factors acquired through EIA and EEA for US and German markets. Energy data is obtained from a hierarchy of HH data, meter readi",Scope 2 emissions,11084.0,tCO2e,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
ASOS,2020,Scope 3,14,"eeting. By order of the Board Anna Suchopar Company Secretary 13 October 2020 Energy and carbon emission reporting Unit of measurement UK portion Total global Energy consumption used to calculate emissions   for gas, electricity and transport emissions kWh 24,679,429 50,451,739 Scope 1   emissions from combustion of gas tCO2e 1,359 2,955 Scope 2   emissions from purchased electricity - location based tCO2e 4,026 11,084 Scope 3   emissions from staff vehicles used for business purposes tCO2e 23 23 Total gross emissions tCO2e 5,408 14,062 Intensity ratio   tCO2e/ m revenue   location based tCO2e/ m revenue 4.31 Market based emissions Unit of measurement UK portion Total global Scope 2   emissions from purchased electricity   market based tCO2e 1,703 5,046 Intensity ratio   tCO2e/ m revenue   market based tCO2e/ m revenue 2.46 Quantification and reporting methodology: We have followed the 2020 HM Government Environmental Reporting Guidelines. We have also used the GHG Reporting Protocol   Corporate Standard (Operational Control boundary), Ofgem environmental impact measurements for fuel sources, and have used the 2020 UK Government s Conversion Factors for Company Reporting. Other intensity factors acquired through EIA and EEA for US and German markets. Energy data is obtained from a hierarchy of HH data, meter readings, invoices and finally estimates if necessary. Only 1% of to",Scope 3 emissions,23.0,tCO2e,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
ASOS,2020,energy consumption,2,"oses are accurate to the Global level but currently difficult to separate based on location; the same figure for the UK portion has therefore been used. Energy Management Statement: This year we have onboarded our first ever dedicated energy management and procurement partner, Amber Energy, and have worked closely with them to improve energy data availability, energy performance analysis and renewable electricity procurement. Together we have launched a company-wide energy data management platform, Fabriq, and have increased the level of energy performance reporting to key stakeholders. We continue to improve the data quality on this platform and are using the analysis to identify ways energy consumption can be reduced. We have also worked closely with Amber Energy to consolidate our energy procurement at all key assets and during the year transitioned to 75% renewable electricity across our operations. We aim to achieve 100% renewable electricity across all sites by 2025 and increase our own renewable energy generation capacity. --- Page 39 --- FINANCIAL STATEMENTS 74 ASOS PLC Annual Report and Accounts 2020 Statement of Directors  Responsibility The Directors are responsible for preparing the Annual Report and the financial statements in accordance with applicable law and regulation. Company law requires the Directors to prepare financial statements for each financial year. Unde",Renewable energy percentage,75.0,%,yes,ASOS 2020 annual report states 75% renewable electricity across operations,,,
ASOS,2021,Energy consumption,6,"disability and accessibility. Energy and carbon emission reporting Unit of measurement UK portion Total global FY21 FY20 % change FY21 FY20 % change Energy consumption used to calculate emissions   for gas, electricity and transport emissions kWh 29,127,996 24,679,429 18% 55,873,228 50,451,739 11% Scope 1   emissions from combustion of gas tCO2e 2,064 1,359 52% 3,602 2,955 22% Scope 2   emissions from purchased electricity   location based tCO2e 3,854 4,026 -4% 11,338 11,084 2% Scope 3   emissions from staff vehicles used for business purposes tCO2e 18 23 -22% 18 23 -22% Total gross emissions tCO2e 5,936 5,408 10% 14,958 14,062 6% Intensity ratio   tCO2e/ m revenue   location based tCO2e/  m revenue 3.84 4.31 -11% Market based emissions Unit of measurement UK portion Total global FY21 FY20 % change FY21 FY20 % change Scope 2   emissions from purchased electricity   market based tCO2e 0 1,703 -100% 3,150 5,046 -38% Intensity ratio   tCO2e/ m revenue   market based tCO2e/  m revenue 1.73 2.46 -30% Quantification and reporting methodology: We have followed the 2020 HM Government Environmental Reporting Guidelines. We have also used the GHG Reporting Protocol   Corporate Standard (Operational Control boundary), Ofgem environmental impact measurements for fuel sources, and have used the 2021 UK Government s Conversion Factors for Company Reporting. Other intensity facto",Energy consumption,55873228.0,kWh,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
ASOS,2021,Scope 1,7,"for gas, electricity and transport emissions kWh 29,127,996 24,679,429 18% 55,873,228 50,451,739 11% Scope 1   emissions from combustion of gas tCO2e 2,064 1,359 52% 3,602 2,955 22% Scope 2   emissions from purchased electricity   location based tCO2e 3,854 4,026 -4% 11,338 11,084 2% Scope 3   emissions from staff vehicles used for business purposes tCO2e 18 23 -22% 18 23 -22% Total gross emissions tCO2e 5,936 5,408 10% 14,958 14,062 6% Intensity ratio   tCO2e/ m revenue   location based tCO2e/  m revenue 3.84 4.31 -11% Market based emissions Unit of measurement UK portion Total global FY21 FY20 % change FY21 FY20 % change Scope 2   emissions from purchased electricity   market based tCO2e 0 1,703 -100% 3,150 5,046 -38% Intensity ratio   tCO2e/ m revenue   market based tCO2e/  m revenue 1.73 2.46 -30% Quantification and reporting methodology: We have followed the 2020 HM Government Environmental Reporting Guidelines. We have also used the GHG Reporting Protocol   Corporate Standard (Operational Control boundary), Ofgem environmental impact measurements for fuel sources, and have used the 2021 UK Government s Conversion Factors for Company Reporting. Other intensity factors acquired through EIA and EEA for US and German markets. Market based scope 2 emissions have been calculated in line with the GHG Protocol guidance and quality criteria with each relevant supply li",Scope 1 emissions,3602.0,tCO2e,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
ASOS,2021,Scope 2,8,"7,996 24,679,429 18% 55,873,228 50,451,739 11% Scope 1   emissions from combustion of gas tCO2e 2,064 1,359 52% 3,602 2,955 22% Scope 2   emissions from purchased electricity   location based tCO2e 3,854 4,026 -4% 11,338 11,084 2% Scope 3   emissions from staff vehicles used for business purposes tCO2e 18 23 -22% 18 23 -22% Total gross emissions tCO2e 5,936 5,408 10% 14,958 14,062 6% Intensity ratio   tCO2e/ m revenue   location based tCO2e/  m revenue 3.84 4.31 -11% Market based emissions Unit of measurement UK portion Total global FY21 FY20 % change FY21 FY20 % change Scope 2   emissions from purchased electricity   market based tCO2e 0 1,703 -100% 3,150 5,046 -38% Intensity ratio   tCO2e/ m revenue   market based tCO2e/  m revenue 1.73 2.46 -30% Quantification and reporting methodology: We have followed the 2020 HM Government Environmental Reporting Guidelines. We have also used the GHG Reporting Protocol   Corporate Standard (Operational Control boundary), Ofgem environmental impact measurements for fuel sources, and have used the 2021 UK Government s Conversion Factors for Company Reporting. Other intensity factors acquired through EIA and EEA for US and German markets. Market based scope 2 emissions have been calculated in line with the GHG Protocol guidance and quality criteria with each relevant supply linked to renewable energy certificates. Energy data is",Scope 2 emissions,11338.0,tCO2e,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
ASOS,2021,Scope 3 ,9,"0,451,739 11% Scope 1   emissions from combustion of gas tCO2e 2,064 1,359 52% 3,602 2,955 22% Scope 2   emissions from purchased electricity   location based tCO2e 3,854 4,026 -4% 11,338 11,084 2% Scope 3   emissions from staff vehicles used for business purposes tCO2e 18 23 -22% 18 23 -22% Total gross emissions tCO2e 5,936 5,408 10% 14,958 14,062 6% Intensity ratio   tCO2e/ m revenue   location based tCO2e/  m revenue 3.84 4.31 -11% Market based emissions Unit of measurement UK portion Total global FY21 FY20 % change FY21 FY20 % change Scope 2   emissions from purchased electricity   market based tCO2e 0 1,703 -100% 3,150 5,046 -38% Intensity ratio   tCO2e/ m revenue   market based tCO2e/  m revenue 1.73 2.46 -30% Quantification and reporting methodology: We have followed the 2020 HM Government Environmental Reporting Guidelines. We have also used the GHG Reporting Protocol   Corporate Standard (Operational Control boundary), Ofgem environmental impact measurements for fuel sources, and have used the 2021 UK Government s Conversion Factors for Company Reporting. Other intensity factors acquired through EIA and EEA for US and German markets. Market based scope 2 emissions have been calculated in line with the GHG Protocol guidance and quality criteria with each relevant supply linked to renewable energy certificates. Energy data is obtained from a hierarchy of HH d",Scope 3 emissions,18.0,tCO2e,yes,No clear numeric ESG performance value auto-identified in this snippet.,,,
