,count,mean,std,min,25%,50%,75%,max
vader_neg,30.0,0.03230487346660857,0.002499956291619118,0.0265833333333333,0.030436534069280523,0.032660127878825454,0.0344182135969141,0.0371908396946564
vader_neu,30.0,0.8533228706926936,0.008978624601346068,0.8373255813953485,0.8459845464135021,0.8529504769921437,0.8559264101421284,0.8707282608695652
vader_pos,30.0,0.11438487669035084,0.008895048430381214,0.1001698113207547,0.10844031375849006,0.1131570972886762,0.12062334515366425,0.1313484848484848
vader_compound,30.0,0.8722619835684661,0.03984060825339731,0.7953984732824427,0.8506079695767196,0.8694076652601969,0.8931540217391304,0.988711111111111
scope_1_emissions_tco2e,9.0,29917.11111111111,20150.694513120663,2955.0,3602.0,42616.0,44001.0,46911.0
scope_2_emissions_tco2e,5.0,33010.4,29940.13868204354,11084.0,11338.0,11497.0,60440.0,70693.0
scope_3_emissions_tco2e,2.0,20.5,3.5355339059327378,18.0,19.25,20.5,21.75,23.0
total_emissions_tco2e,3.0,88842.0,128066.11647114158,14848.0,14903.0,14958.0,125839.0,236720.0
energy_consumption_mwh,3.0,55252.98533333334,4523.132707514819,50451.739,53162.4835,55873.228,57653.6085,59433.989
renewable_energy_percent,3.0,86.66666666666667,12.583057392117917,75.0,80.0,85.0,92.5,100.0
waste_tonnes,8.0,3918.075,2412.742633690666,2.6,3583.25,5086.5,5287.0,5638.0
recycling_percent,5.0,96.56,1.7515707236649045,95.0,95.0,96.0,98.0,98.8
