company_short,year,word_count,clean_word_count,vader_neg,vader_neu,vader_pos,vader_compound
ASOS,2019,56619,56113,0.026583333333333334,0.8456527777777778,0.12780555555555556,0.988711111111111
ASOS,2020,65844,65185,0.02991666666666667,0.8438095238095239,0.12629761904761905,0.9412583333333332
ASOS,2021,73738,72928,0.028627659574468077,0.8504574468085104,0.12088297872340428,0.8799212765957446
ASOS,2022,96290,94828,0.03439344262295082,0.8538278688524591,0.11187704918032786,0.8406065573770491
ASOS,2023,99804,98213,0.03569291338582678,0.8559291338582676,0.10839370078740157,0.843732283464567
ASOS,2024,101842,100236,0.03719083969465649,0.8542366412213741,0.10858015267175573,0.7953984732824427
BOOHOO,2019,37311,36505,0.03322916666666667,0.8452083333333332,0.121625,0.9031500000000001
BOOHOO,2020,44081,43329,0.031964285714285716,0.8431428571428572,0.12483928571428571,0.8507392857142858
BOOHOO,2021,51706,51232,0.029696969696969697,0.8390454545454545,0.13134848484848485,0.8524818181818182
BOOHOO,2022,60984,59887,0.0316923076923077,0.8422948717948717,0.12603846153846152,0.8205769230769232
BOOHOO,2023,67498,66005,0.034813953488372094,0.8373255813953485,0.12795348837209303,0.8055744186046513
BOOHOO,2024,69657,70254,0.029147727272727277,0.8650795454545454,0.10577272727272727,0.84455
JD,2019,73225,71977,0.028619565217391306,0.8707282608695652,0.10065217391304347,0.863616304347826
JD,2020,90667,89548,0.032078260869565216,0.8663217391304348,0.10156521739130435,0.8918095652173913
JD,2021,108609,107383,0.03332608695652174,0.8626014492753623,0.10402898550724636,0.8936021739130434
JD,2022,125828,124110,0.029176100628930814,0.8706163522012579,0.10016981132075471,0.8892490566037736
JD,2023,144835,142990,0.030302702702702702,0.8638702702702704,0.10581621621621622,0.8655902702702704
JD,2024,141112,138735,0.031161111111111115,0.8665611111111111,0.10231111111111112,0.8730944444444444
MKS,2019,112192,110798,0.030838028169014087,0.8500774647887325,0.11911267605633802,0.8761612676056337
MKS,2020,138943,137055,0.03357386363636364,0.8529318181818181,0.11345454545454543,0.9040693181818181
MKS,2021,142722,140872,0.03233149171270718,0.8506850828729283,0.11693922651933704,0.9010834254143645
MKS,2022,140245,138526,0.032988764044943816,0.8514831460674157,0.11561797752808987,0.8913112359550562
MKS,2023,141460,139311,0.034438888888888894,0.8457388888888889,0.11984444444444446,0.8653916666666667
MKS,2024,124230,122727,0.034487341772151896,0.8467215189873417,0.11884177215189874,0.8657208860759493
NEXT,2019,91602,89998,0.03146491228070176,0.8556842105263158,0.112859649122807,0.9114315789473684
NEXT,2020,108438,106687,0.034426470588235294,0.8517720588235294,0.11382352941176471,0.8545463235294117
NEXT,2021,114386,112506,0.03411188811188811,0.8543286713286713,0.11155944055944056,0.9056202797202796
NEXT,2022,127070,124860,0.035006289308176106,0.8559182389937109,0.10903144654088051,0.8161660377358492
NEXT,2023,129069,126758,0.03454938271604939,0.8529691358024692,0.11245679012345682,0.8505641975308642
NEXT,2024,136231,135242,0.033315789473684215,0.8546666666666665,0.11204678362573102,0.8821309941520469
